Jets,Dante Fabbro
Wild,Kyle Palmieri
Hurricanes,Cam Fowler
Red Wings,Jack Roslovic
Predators,Rasmus Andersson
Canucks,Dennis Cholowski
Maple Leafs,Jason Zucker
Blues,Victor Mete
Sabres,Oskar Lindblom
Islanders,Petr Mrazek
Islanders,Alexander Wennberg
Sabres,Colin White
Blues,Ondrej Kase
Maple Leafs,Jake Allen
Predators,Andrew Mangiapane
Kraken,Connor Brown
Red Wings,Alex Goligoski
Hurricanes,Tyson Jost
Wild,Christian Dvorak
Golden Knights,Vincent Trocheck
Flyers,Scott Mayfield
Kraken,Jakub Voracek
Jets,Jake Virtanen
Capitals,Jonathan Drouin
Rangers,Adam Henrique
Sharks,Reilly Smith
Blue Jackets,Chris Tierney
Avalanche,Phillippe Myers
Sharks,Jamie Benn
Devils,Ian Cole
Lightning,Boone Jenner
Kings,Travis Dermott
Flames,Max Comtois
Canadiens,Ryan Poehling
Oilers,Jared Spurgeon
Senators,Gustav Nyquist
Bruins,Kevin Labanc
Sharks,Viktor Arvidsson
Panthers,Andreas Athanasiou
Bruins,Shayne Gostisbehere
Stars,Evgenii Dadonov
Coyotes,Patrik Nemeth
Coyotes,Travis Boyd
Stars,Justin Schultz
Bruins,Jared McCann
Panthers,Alexander Nylander
Sharks,Joel Eriksson Ek
Bruins,Adin Hill
Senators,Phil Kessel
Oilers,Anders Lee
Canadiens,Logan Brown
Flames,Robby Fabbri
Kings,Brett Howden
Lightning,Tanner Pearson
Devils,Erik Gudbranson
Ducks,Alexandre Texier
Avalanche,Denis Gurianov
Blue Jackets,Brayden McNabb
Penguins,Josh Bailey
Rangers,Ben Chiarot
Capitals,Adam Larsson
Jets,Nicolas Hague
Predators,Lars Eller
Wild,Radek Faksa
Golden Knights,Braden Holtby
Wild,Brendan Lemieux
Hurricanes,Justin Faulk
Red Wings,Lias Andersson
Predators,Jeff Skinner
Canucks,Tyler Johnson
Maple Leafs,Nate Schmidt
Blues,Haydn Fleury
Sabres,Jake Muzzin
Islanders,Dmitry Orlov
Islanders,Brandon Saad
Sabres,Nick Bonino
Blues,Mario Ferraro
Sharks,Scott Laughton
Canucks,Ryan Donato
Predators,Jordan Greenway
Red Wings,Henrik Borgstrom
Hurricanes,Matt Grzelcyk
Ducks,Olli Maatta
Canucks,Jonathan Marchessault
Flyers,Warren Foegele
Kraken,Ryan McDonagh
Jets,Nick Ritchie
Capitals,Joel Armia
Rangers,Eric Staal
Penguins,Noel Acciari
Blue Jackets,Isac Lundestrom
Avalanche,Ilya Mikheyev
Flyers,Troy Stecher
Devils,David Rittich
Lightning,Calvin de Haan
Kings,Jacob Larsson
Flames,Nikita Gusev
Canadiens,Josh Anderson
Oilers,Casey Cizikas
Senators,Jordan Staal
Blackhawks,Artturi Lehkonen
Ducks,Ondrej Palat
Panthers,Kevin Shattenkirk
Blackhawks,Mikael Granlund
Stars,Valeri Nichushkin
Coyotes,Chris Tanev
Coyotes,Ivan Barbashev
Stars,Alex Chiasson
Blackhawks,Cam Atkinson
Panthers,David Savard
Golden Knights,Alexander Kerfoot
Blackhawks,Brenden Dillon
Senators,Nikita Zaitsev
Oilers,Tyler Myers
Canadiens,Brandon Montour
Flames,Emil Bemstrom
Kings,Sam Montembeault
Lightning,Oskar Sundqvist
Devils,Jason Dickinson
Hurricanes,Jordan Eberle
Avalanche,Dominik Kahun
Blue Jackets,Andreas Johnsson
Penguins,Erik Haula
Rangers,Andrew Copp
Capitals,Nino Niederreiter
Jets,Yanni Gourde
Kraken,Erik Johnson
Flyers,Daniel Sprong
Golden Knights,Sami Vatanen
Wild,Ryan Lindgren
Ducks,Brandon Tanev
Red Wings,Danton Heinen
Predators,Frank Vatrano
Kraken,Riley Stillman
Sharks,Calle Jarnkrok
Blues,Joel Edmundson
Sabres,Joey Anderson
Islanders,Ryan Dzingel
Islanders,Barclay Goodrow
Sabres,Libor Hajek
Blues,Zach Parise
Maple Leafs,Marcus Johansson
Canucks,Robert Hagg
Predators,Dylan DeMelo
Red Wings,Max Jones
Hurricanes,Zack Kassian
Wild,Noah Gregor
Ducks,Lucas Wallmark
Flyers,Vladislav Gavrikov
Kraken,Duncan Keith
Jets,Chandler Stephenson
Capitals,James van Riemsdyk
Rangers,Jake McCabe
Penguins,Patric Hornqvist
Blue Jackets,Vladislav Namestnikov
Avalanche,Josh Manson
Predators,Devon Toews
Devils,Nick Foligno
Lightning,Joonas Donskoi
Kings,Miles Wood
Flames,Ryan Getzlaf
Canadiens,Troy Terry
Oilers,Jack Johnson
Senators,Jason Demers
Blackhawks,Derick Brassard
Maple Leafs,Jesper Fast
Panthers,Tyler Ennis
Bruins,Paul Stastny
Stars,Derek Stepan
Coyotes,Jeff Carter
Coyotes,Radko Gudas
Stars,T.J. Brodie
Bruins,Jaroslav Halak
Panthers,Roman Polak
Sharks,MacKenzie Weegar
Blackhawks,P.K. Subban
Senators,Luke Glendening
Oilers,Carl Hagelin
Canadiens,Sammy Blais
Flames,Nick Leddy
Kings,Teddy Blueger
Lightning,Adam Lowry
Devils,Tage Thompson
Ducks,Brian Dumoulin
Avalanche,Thomas Greiss
Blue Jackets,Colton Sissons
Penguins,Antti Raanta
Rangers,Marcus Foligno
Capitals,Ryan Murray
Jets,David Krejci
Golden Knights,Erik Gustafsson
Flyers,Sonny Milano
Golden Knights,Rudolfs Balcers
Wild,James Reimer
Hurricanes,Nicolas Roy
Red Wings,Jesper Boqvist
Golden Knights,Sam Bennett
Canucks,Will Butcher
Maple Leafs,Ilya Kovalchuk
Blues,Cedric Paquette
Sabres,Chris Driedger
Islanders,Brock McGinn
Islanders,Jonathon Merrill
Sabres,Cody Ceci
Blues,Jay Beagle
Maple Leafs,Zemgus Girgensons
Canucks,Michael McLeod
Predators,Alex Galchenyuk
Red Wings,Mitchell Stephens
Hurricanes,Nick Paul
Wild,Michael Grabner
Canucks,Jansen Harkins
Flyers,Ben Hutton
Kraken,Brad Richardson
Jets,Carl Grundstrom
Capitals,Ryan Hartman
Rangers,Oscar Fantenberg
Penguins,Danny DeKeyser
Blue Jackets,Cale Fleury
Avalanche,Craig Smith
Kraken,Travis Zajac
Devils,Jordie Benn
Lightning,Rasmus Asplund
Kings,Dylan Gambrell
Flames,Sean Walker
Canadiens,Caleb Jones
Oilers,Matt Calvert
Senators,Blake Comeau
Blackhawks,Nicolas Aube-Kubel
Maple Leafs,Cam Talbot
Panthers,Jimmy Vesey
Bruins,Dustin Brown
Stars,Derek Grant
Coyotes,Alexander Radulov
Coyotes,Andrew Cogliano
Stars,Mark Borowiecki
Bruins,Niklas Hjalmarsson
Panthers,Martin Marincin
Sharks,Mike Matheson
Blackhawks,Joe Pavelski
Senators,Colton Sceviour
Oilers,Riley Sheahan
Canadiens,Madison Bowey
Flames,Jayce Hawryluk
Kings,Marc-Edouard Vlasic
Lightning,Pierre Engvall
Devils,Carl Soderberg
Ducks,Keith Yandle
Avalanche,Brett Connolly
Blue Jackets,Nick Cousins
Penguins,David Kampf
Rangers,Deryk Engelland
Capitals,Slater Koekkoek
Jets,Alec Martinez
Ducks,Oliver Kylington
Flyers,Brendan Guhle
Ducks,Zach Sanford
Wild,Tyler Motte
Hurricanes,Kyle Turris
Red Wings,Mats Zuccarello
Predators,Cody Eakin
Golden Knights,Andrew Shaw
Maple Leafs,Justin Williams
Blues,Mattias Janmark
Sabres,Curtis Lazar
Islanders,Justin Braun
Islanders,Sean Kuraly
Sabres,Josh Leivo
Blues,Sergei Bobrovsky
Maple Leafs,Jason Spezza
Canucks,James Neal
Predators,Sami Niku
Red Wings,Trevor Moore
Hurricanes,Josh Mahura
Wild,Anton Stralman
Sharks,Matthew Nieto
Flyers,Taro Hirose
Kraken,Carter Rowney
Jets,Jeremy Lauzon
Capitals,Jack Campbell
Rangers,Johan Larsson
Penguins,Andy Greene
Blue Jackets,Anders Bjork
Avalanche,William Carrier
Ducks,Matt Roy
Devils,Kris Russell
Lightning,Michael Del Zotto
Kings,Ilya Lyubushkin
Flames,Paul Byron
Canadiens,Mark Jankowski
Oilers,Josh Archibald
Senators,Nick Jensen
Blackhawks,Blake Lizotte
Sharks,Derek Forbort
Panthers,Artem Anisimov
Bruins,Nikolay Goldobin
Stars,Joe Thornton
Coyotes,Patrick Marleau
Coyotes,Nic Dowd
Stars,Brandon Sutter
Bruins,Maxime Lajoie
Panthers,Justin Holl
Golden Knights,Filip Chlapik
Blackhawks,Zach Aston-Reese
Senators,Ryan Carpenter
Oilers,Jujhar Khaira
Canadiens,Stephen Johns
Flames,Mikko Koivu
Kings,Kevin Stenlund
Lightning,Vinnie Hinostroza
Devils,Derek Ryan
Ducks,Anthony Stolarz
Avalanche,Ryan Reaves
Blue Jackets,Michal Kempny
Penguins,Carter Verhaeghe
Rangers,Chris Wagner
Capitals,Austin Watson
Jets,Christian Fischer
Kraken,Jay Bouwmeester
Flyers,Matt Luff
Golden Knights,Christian Wolanin
Wild,Frederik Gauthier
Hurricanes,Marco Scandella
Red Wings,Devan Dubnyk
Predators,Conor Sheary
Canucks,Christian Djoos
Maple Leafs,Karson Kuhlman
Blues,Richard Panik
Sabres,Ron Hainsey
Islanders,Garnet Hathaway
Islanders,Cal Clutterbuck
Sabres,Bobby Ryan
Blues,Drake Caggiula
Maple Leafs,Bryan Little
Canucks,Tyler Bozak
Predators,Nick Holden
Red Wings,John Moore
Hurricanes,Alex Stalock
Wild,Johnny Boychuk
Sharks,Justin Bailey
Flyers,Michael Amadio
Bruins,Leo Komarov
Jets,Jonathan Bernier
Capitals,Michael Dal Colle
Rangers,Riley Nash
Penguins,Dylan McIlrath
Blue Jackets,Mason Appleton
Avalanche,Nick Bjugstad
Ducks,Carson Soucy
Devils,Marc Staal
Lightning,Tyler Pitlick
Kings,Colin Miller
Flames,Malcolm Subban
Canadiens,Martin Frk
Oilers,Matt Benning
Senators,Michael Raffl
Blackhawks,Lawrence Pilut
Golden Knights,Anders Nilsson
Panthers,Jamie Oleksiak
Bruins,Wayne Simmonds
Stars,Brandon Pirri
Coyotes,Brendan Perlini
Coyotes,Corey Perry
Stars,Brendan Gaunce
Bruins,Brian Boyle
Panthers,Jonathan Quick
Sharks,Kevin Rooney
Blackhawks,Mike Green
Senators,Nate Thompson
Oilers,Mike Smith
Canadiens,Jake Gardiner
Flames,Markus Nutivaara
Kings,Martin Jones
Lightning,Mark Pysyk
Devils,Jarred Tinordi
Ducks,Mike Reilly
Avalanche,Dan Hamhuis
Blue Jackets,Pat Maroon
Penguins,Garret Sparks
Rangers,Ryan Miller
Capitals,Adam Erne
Jets,Austin Czarnik
Bruins,Luca Sbisa
Flyers,Denis Malgin
Golden Knights,Rocco Grimaldi
Wild,Vladislav Kamenev
Hurricanes,Austin Wagner
Red Wings,Tucker Poolman
Predators,Micheal Ferland
Canucks,Christian Jaros
Maple Leafs,Luke Schenn
Blues,Tobias Rieder
Sabres,Marcus Sorensen
Islanders,Zack Smith
Islanders,Jordan Oesterle
